TOPIC,TAXONOMY,CLASSIFICATION,GROUP,SUBGROUP,TIME_PERIOD,ESTIMATE,ESTIMATE_LCI,ESTIMATE_UCI,Barrier_Type
Delayed getting medical care due to cost among adults,Healthcare access and quality,Geographic Characteristic,Urbanicity,Large central metro,2021,6.3,5.7,7.0,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Geographic Characteristic,Urbanicity,Large central metro,2022,7.2,6.5,7.9,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Geographic Characteristic,Urbanicity,Large central metro,2023,6.7,6.1,7.4,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Geographic Characteristic,Urbanicity,Large central metro,2024,8.1,7.4,8.8,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Geographic Characteristic,Urbanicity,Large fringe metro,2019,7.9,7.1,8.8,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Geographic Characteristic,Urbanicity,Large fringe metro,2020,6.7,5.9,7.6,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Geographic Characteristic,Urbanicity,Large fringe metro,2021,6.5,5.8,7.3,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Geographic Characteristic,Urbanicity,Large fringe metro,2022,6.7,5.9,7.5,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Geographic Characteristic,Urbanicity,Large fringe metro,2023,6.5,5.7,7.3,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Geographic Characteristic,Urbanicity,Large fringe metro,2024,7.9,7.1,8.8,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Geographic Characteristic,Urbanicity,Medium and small metro,2019,9.6,8.8,10.4,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Geographic Characteristic,Urbanicity,Medium and small metro,2020,8.2,7.5,8.9,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Geographic Characteristic,Urbanicity,Medium and small metro,2021,7.6,6.9,8.3,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Geographic Characteristic,Urbanicity,Medium and small metro,2022,6.9,6.2,7.6,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Geographic Characteristic,Urbanicity,Medium and small metro,2023,8.2,7.5,9.1,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Geographic Characteristic,Urbanicity,Medium and small metro,2024,9.9,9.1,10.8,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Geographic Characteristic,Urbanicity,Nonmetropolitan,2019,9.8,8.6,11.1,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Geographic Characteristic,Urbanicity,Nonmetropolitan,2020,8.2,7.0,9.5,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Geographic Characteristic,Urbanicity,Nonmetropolitan,2021,9.2,8.1,10.3,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Geographic Characteristic,Urbanicity,Nonmetropolitan,2022,7.8,6.7,8.9,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Geographic Characteristic,Urbanicity,Nonmetropolitan,2023,7.2,6.2,8.3,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Geographic Characteristic,Urbanicity,Nonmetropolitan,2024,8.1,7.3,9.0,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Education,No high school diploma or GED,2019,13.9,12.3,15.7,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Education,No high school diploma or GED,2020,11.8,9.8,13.9,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Education,No high school diploma or GED,2021,9.0,7.6,10.5,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Education,No high school diploma or GED,2022,11.5,10.0,13.3,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Education,No high school diploma or GED,2023,10.6,9.1,12.3,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Education,No high school diploma or GED,2024,10.4,8.8,12.2,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Education,High school diploma or GED,2019,10.0,9.2,10.9,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Education,High school diploma or GED,2020,8.5,7.7,9.4,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Education,High school diploma or GED,2021,7.8,7.0,8.7,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Education,High school diploma or GED,2022,8.3,7.4,9.2,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Education,High school diploma or GED,2023,7.9,7.1,8.8,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Education,High school diploma or GED,2024,8.8,7.9,9.6,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Education,Some college,2019,10.1,9.3,11.0,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Education,Some college,2020,7.8,7.1,8.6,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Education,Some college,2021,8.4,7.7,9.2,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Education,Some college,2022,7.3,6.6,8.1,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Education,Some college,2023,8.2,7.5,9.0,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Education,Some college,2024,9.9,9.1,10.8,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Education,College degree or higher,2019,5.2,4.7,5.8,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Education,College degree or higher,2020,4.8,4.3,5.3,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Education,College degree or higher,2021,5.9,5.3,6.4,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Education,College degree or higher,2022,4.5,4.0,5.0,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Education,College degree or higher,2023,5.0,4.5,5.5,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Education,College degree or higher,2024,7.0,6.5,7.6,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Employment status,Employed,2019,9.4,8.9,10.0,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Employment status,Employed,2020,7.8,7.3,8.3,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Employment status,Employed,2021,7.4,6.9,7.9,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Employment status,Employed,2022,7.5,7.0,8.1,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Employment status,Employed,2023,7.8,7.3,8.3,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Employment status,Employed,2024,9.6,9.0,10.2,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Employment status,Employed - Full-time,2019,9.3,8.7,10.0,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Employment status,Employed - Full-time,2020,7.4,6.9,7.9,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Employment status,Employed - Full-time,2021,7.2,6.7,7.8,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Employment status,Employed - Full-time,2022,7.4,6.9,8.0,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Employment status,Employed - Full-time,2023,7.5,7.0,8.1,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Employment status,Employed - Full-time,2024,9.4,8.8,10.0,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Employment status,Employed - Part-time,2019,9.8,8.5,11.2,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Employment status,Employed - Part-time,2020,9.3,8.0,10.8,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Employment status,Employed - Part-time,2021,8.1,6.9,9.4,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Employment status,Employed - Part-time,2022,8.0,6.8,9.3,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Employment status,Employed - Part-time,2023,8.8,7.6,10.1,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Employment status,Employed - Part-time,2024,10.6,9.3,11.9,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Employment status,Not employed,2019,8.2,7.6,8.9,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Employment status,Not employed,2020,7.1,6.4,7.9,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Employment status,Not employed,2021,6.6,6.1,7.2,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Employment status,Not employed,2022,6.0,5.4,6.6,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Employment status,Not employed,2023,6.2,5.6,6.8,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Employment status,Not employed,2024,6.9,6.3,7.5,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Employment status,Not employed - Has worked previously,2019,8.4,7.7,9.1,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Employment status,Not employed - Has worked previously,2020,7.0,6.3,7.8,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Employment status,Not employed - Has worked previously,2021,6.8,6.2,7.5,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Employment status,Not employed - Has worked previously,2022,6.1,5.5,6.7,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Employment status,Not employed - Has worked previously,2023,6.5,5.8,7.1,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Employment status,Not employed - Has worked previously,2024,7.1,6.5,7.8,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Employment status,Not employed - Has never worked,2019,6.4,4.2,9.2,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Employment status,Not employed - Has never worked,2020,8.4,5.0,13.0,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Employment status,Not employed - Has never worked,2021,4.0,2.2,6.6,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Employment status,Not employed - Has never worked,2022,4.0,2.0,7.0,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Employment status,Not employed - Has never worked,2023,2.8,1.4,5.0,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Employment status,Not employed - Has never worked,2024,4.0,2.1,6.9,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Private,2019,2.2,1.6,2.9,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Private,2020,1.5,1.1,2.1,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Private,2021,1.5,1.0,2.0,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Private,2022,2.0,1.4,2.6,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Private,2023,1.7,1.3,2.3,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Private,2024,2.4,1.9,3.1,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare and Medicaid,2019,3.2,1.7,5.3,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare and Medicaid,2020,3.5,1.9,5.9,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare and Medicaid,2021,2.9,1.5,5.1,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare and Medicaid,2022,2.1,1.1,3.5,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare and Medicaid,2023,3.0,1.7,4.7,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare and Medicaid,2024,2.3,1.4,3.5,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare Advantage,2019,3.2,2.5,4.1,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare Advantage,2020,2.1,1.6,2.8,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare Advantage,2021,2.7,2.0,3.6,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare Advantage,2022,2.4,1.8,3.1,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare Advantage,2023,2.5,2.0,3.2,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare Advantage,2024,2.5,1.9,3.2,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare only excluding Medicare Advantage,2019,5.3,3.7,7.4,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare only excluding Medicare Advantage,2020,6.3,4.6,8.4,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare only excluding Medicare Advantage,2021,4.7,3.4,6.3,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare only excluding Medicare Advantage,2022,5.5,3.5,8.2,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare only excluding Medicare Advantage,2023,4.2,3.0,5.8,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare only excluding Medicare Advantage,2024,2.7,1.9,3.8,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Other government coverage,2019,3.5,1.9,5.8,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Other government coverage,2020,2.0,0.9,3.6,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Other government coverage,2021,1.5,0.7,2.7,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Other government coverage,2022,2.3,1.2,3.9,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Other government coverage,2023,1.2,0.6,2.3,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Other government coverage,2024,2.2,1.1,3.9,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Uninsured,2023,20.3,9.7,35.1,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Private,2019,6.3,5.8,6.8,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Private,2020,5.6,5.2,6.1,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Private,2021,6.6,6.2,7.1,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Private,2022,5.7,5.2,6.2,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Private,2023,6.3,5.9,6.8,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Private,2024,8.4,7.9,9.0,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Medicaid or other state programs,2019,8.9,7.6,10.2,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Medicaid or other state programs,2020,7.3,6.1,8.8,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Medicaid or other state programs,2021,5.4,4.6,6.4,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Medicaid or other state programs,2022,6.6,5.6,7.8,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Medicaid or other state programs,2023,7.1,5.9,8.3,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Medicaid or other state programs,2024,6.5,5.4,7.6,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Other government coverage,2019,10.4,8.4,12.8,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Other government coverage,2020,8.8,7.0,11.0,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Other government coverage,2021,8.3,6.1,10.9,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Other government coverage,2022,7.7,5.9,9.9,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Other government coverage,2023,9.1,6.7,11.9,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Other government coverage,2024,10.1,8.0,12.7,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Uninsured,2019,32.1,30.0,34.3,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Uninsured,2020,26.2,23.7,28.8,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Uninsured,2021,22.2,20.2,24.3,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Uninsured,2022,24.8,22.7,27.1,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Uninsured,2023,24.7,22.4,27.2,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Uninsured,2024,26.8,24.6,29.1,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Poverty level,<100% FPL,2019,16.0,14.3,17.8,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Poverty level,<100% FPL,2020,13.2,11.4,15.1,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Poverty level,<100% FPL,2021,11.0,9.6,12.6,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Poverty level,<100% FPL,2022,11.0,9.5,12.7,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Poverty level,<100% FPL,2023,11.9,10.4,13.5,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Poverty level,<100% FPL,2024,11.5,10.0,13.2,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Poverty level,100% to <200% FPL,2019,14.9,13.7,16.2,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Poverty level,100% to <200% FPL,2020,12.1,10.9,13.4,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Poverty level,100% to <200% FPL,2021,9.6,8.7,10.6,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Poverty level,100% to <200% FPL,2022,11.3,10.1,12.5,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Poverty level,100% to <200% FPL,2023,11.5,10.3,12.7,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Poverty level,100% to <200% FPL,2024,11.7,10.5,12.9,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Poverty level,≥200% FPL,2019,6.4,6.0,6.8,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Poverty level,≥200% FPL,2020,5.6,5.2,6.0,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Poverty level,≥200% FPL,2021,6.0,5.6,6.4,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Poverty level,≥200% FPL,2022,5.5,5.1,5.9,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Poverty level,≥200% FPL,2023,5.5,5.1,5.9,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Socioeconomic Characteristic,Poverty level,≥200% FPL,2024,7.4,7.0,7.9,Delayed Care
Did not get needed medical care due to cost,Healthcare access and quality,Demographic Characteristic,Age groups with 65 years and older,18-34 years,2019,9.1,8.3,10.0,No Medical Care
Did not get needed medical care due to cost,Healthcare access and quality,Demographic Characteristic,Age groups with 65 years and older,18-34 years,2020,7.6,6.8,8.6,No Medical Care
Did not get needed medical care due to cost,Healthcare access and quality,Demographic Characteristic,Age groups with 65 years and older,18-34 years,2021,7.0,6.3,7.9,No Medical Care
Did not get needed medical care due to cost,Healthcare access and quality,Demographic Characteristic,Age groups with 65 years and older,18-34 years,2022,7.0,6.3,7.8,No Medical Care
Did not get needed medical care due to cost,Healthcare access and quality,Demographic Characteristic,Age groups with 65 years and older,18-34 years,2023,7.0,6.2,7.7,No Medical Care
Did not get needed medical care due to cost,Healthcare access and quality,Demographic Characteristic,Age groups with 65 years and older,18-34 years,2024,8.8,8.0,9.6,No Medical Care
Did not get needed medical care due to cost,Healthcare access and quality,Demographic Characteristic,Age groups with 65 years and older,35-49 years,2019,10.0,9.1,10.9,No Medical Care
Did not get needed medical care due to cost,Healthcare access and quality,Demographic Characteristic,Age groups with 65 years and older,35-49 years,2020,7.9,7.1,8.7,No Medical Care
Did not get needed medical care due to cost,Healthcare access and quality,Demographic Characteristic,Age groups with 65 years and older,35-49 years,2021,7.4,6.7,8.2,No Medical Care
Did not get needed medical care due to cost,Healthcare access and quality,Demographic Characteristic,Age groups with 65 years and older,35-49 years,2022,8.4,7.6,9.2,No Medical Care
Did not get needed medical care due to cost,Healthcare access and quality,Demographic Characteristic,Age groups with 65 years and older,35-49 years,2023,8.3,7.5,9.2,No Medical Care
Did not get needed medical care due to cost,Healthcare access and quality,Demographic Characteristic,Age groups with 65 years and older,35-49 years,2024,9.7,8.9,10.6,No Medical Care
Did not get needed medical care due to cost,Healthcare access and quality,Demographic Characteristic,Age groups with 65 years and older,50-64 years,2019,9.8,9.0,10.7,No Medical Care
Did not get needed medical care due to cost,Healthcare access and quality,Demographic Characteristic,Age groups with 65 years and older,50-64 years,2020,8.0,7.3,8.8,No Medical Care
Did not get needed medical care due to cost,Healthcare access and quality,Demographic Characteristic,Age groups with 65 years and older,50-64 years,2021,7.2,6.5,7.9,No Medical Care
Did not get needed medical care due to cost,Healthcare access and quality,Demographic Characteristic,Age groups with 65 years and older,50-64 years,2022,6.7,6.0,7.4,No Medical Care
Did not get needed medical care due to cost,Healthcare access and quality,Demographic Characteristic,Age groups with 65 years and older,50-64 years,2023,7.4,6.6,8.2,No Medical Care
Did not get needed medical care due to cost,Healthcare access and quality,Demographic Characteristic,Age groups with 65 years and older,50-64 years,2024,8.3,7.6,9.1,No Medical Care
Did not get needed medical care due to cost,Healthcare access and quality,Demographic Characteristic,Age groups with 65 years and older,65 years and older,2019,3.4,2.9,3.9,No Medical Care
Did not get needed medical care due to cost,Healthcare access and quality,Demographic Characteristic,Age groups with 65 years and older,65 years and older,2020,2.3,1.9,2.7,No Medical Care
Did not get needed medical care due to cost,Healthcare access and quality,Demographic Characteristic,Age groups with 65 years and older,65 years and older,2021,2.2,1.9,2.5,No Medical Care
Did not get needed medical care due to cost,Healthcare access and quality,Demographic Characteristic,Age groups with 65 years and older,65 years and older,2022,2.6,2.2,3.1,No Medical Care
